c_custkey,c_name,c_address,c_nationkey,c_phone,c_acctbal,c_mktsegment,c_comment
1395,Customer#000001395,XJoxiYIaBYgEE,23,33-291-909-3901,8733.39,MACHINERY,tions sleep carefully. furiously final requests about the regular excuses a
1396,Customer#000001396,M4dHuyrttFfeBr,3,13-523-516-9742,7149.43,BUILDING, the even theodolites integrate fluffily regular dolphins. blithely 
1397,Customer#000001397,1bk KBemIEsKhD3VyXa6IRLx 4GH u,8,18-294-992-6523,5466.83,AUTOMOBILE,"onic packages across the bold, regular dolphins boost furiously furious multipliers; furiously specia"
1398,Customer#000001398,"K1rQq6exc3WcVCcgIjA4SaeqxtK2,HG1",8,18-377-181-4654,7004.9,HOUSEHOLD,"the blithely silent dinos. even, special hockey pla"
1399,Customer#000001399,"FOuY,endAFj",0,10-775-919-7154,7352.14,AUTOMOBILE,foxes across the silent platelets haggle fluffily special requests. unusu
1400,Customer#000001400,BuouRkR7J f,0,10-217-180-5310,2432.73,BUILDING,etect fluffily final courts. carefully special instructions
1401,Customer#000001401,C4vlB8ENikVmaMizX3nH3zgds6,9,19-339-404-7859,8908.63,BUILDING,accounts use furiously unusual pinto bean
1402,Customer#000001402,F7 m0JwiCABmbJLPQpCJ2,6,16-713-144-2780,4396.25,AUTOMOBILE,"g the carefully express dolphins: special, pending packages affix after the packa"
1403,Customer#000001403,",ql804gtMc3uxTfP,lt4yRBWQ",12,22-458-624-2509,9782.34,HOUSEHOLD,tes are blithely carefully bold pac
1404,Customer#000001404,"pIO5i3yjeODChGMHoVvrX,Ctpdj",12,22-320-701-5582,3828.46,MACHINERY,ven platelets use quickly pending requests. busily busy asymptotes sleep slyly across the
1405,Customer#000001405,i9khsGcg17kWI4q5LKTcc8U3aFojf403,16,26-285-488-6682,3987.39,BUILDING,"haggle slyly; regular, final excuses are blithe"
1406,Customer#000001406,"g1xS4snd0fzl4R,JmPHfEzRD",5,15-767-155-6419,2023.59,HOUSEHOLD,uests are furiously carefully express packages. slyly permanen
1407,Customer#000001407,zZsTZ3nI1rG5X,14,24-529-300-1554,7424.99,BUILDING,"nding, ironic instructions promise across the quickly regular r"
1408,Customer#000001408,"NMIb3p1DyU,Z4XOFUS0B,",11,21-901-381-6344,5920.09,HOUSEHOLD,"express requests believe. pending, brave deposits sleep furiously. carefully regular deposit"
1409,Customer#000001409,jzfaCksWUNlI,11,21-667-401-3780,1959.17,MACHINERY,ously ironic ideas are. unusual packages kindle along the dugouts. unus
1410,Customer#000001410,yEUlreh6mkGmg8SIwKZooUOJ42kuZwAptaR4HAJ,22,32-358-270-1819,2716.95,HOUSEHOLD,"lar, express packages cajole bravely permanently final packages. blithely even dolphins nag finally special theo"
1411,Customer#000001411,4iLVKtSmtJpU,21,31-898-640-7625,772.14,AUTOMOBILE,sly final ideas. carefully bold pinto beans wake: slyly regular packages must sleep. final platelets inte
1412,Customer#000001412,gfsI6WU i7kYypv09gGIqUFrUod9uhb,10,20-715-510-2804,6368.38,BUILDING,"fully regular accounts print ironic, regular platelets. deposits promise slyly. express, ironic ideas "
1413,Customer#000001413,"9Yh cGpbCbrXZytNfH,dAEwX",15,25-624-816-9010,1387.83,AUTOMOBILE,onic foxes. quickly final dolphins are fluffily. quickly unusual ideas wake carefully. furiously
1414,Customer#000001414,2 HBoqTD0qCyMKtcBPVHbNna,20,30-323-797-7514,3136.15,BUILDING,ackages. blithely unusual accounts a
1415,Customer#000001415,"x,hzUUAZ9w7ndksLyH0,fEpMfU",21,31-295-601-1598,6252.12,BUILDING,heodolites. furiously pending requests are above th
1416,Customer#000001416,"ovOZcFGL31uxmA2ifIYudX6OuwNDz,B",7,17-306-898-9363,5348.4,MACHINERY,unts wake slyly excuses. bravely even pinto beans across the furiously final de
1417,Customer#000001417,1BDU8AvljnLmkM,1,11-242-612-1339,7543.01,FURNITURE,ag slyly-- furiously final accounts are ironic instruct
1418,Customer#000001418,S5uBtE hDxHcHunowPDXKSxP3csMFnhYt,17,27-773-818-3164,9359.01,AUTOMOBILE,"ggle quickly blithely thin excuses. final, even accounts integrate slyly. carefully pending account"
1419,Customer#000001419,JM4NV2pq4Ps0xJNRtUtlmQ8uuDvKx,4,14-533-796-5446,5912.72,FURNITURE,. idly express pinto beans sleep above the deposits. excuses use: furiously bold accounts cajole slyly across the ca
1420,Customer#000001420,mjkRUOEzdCWpNdpp5PKOObMmhpufeNGnO1VFdbpK,9,19-433-305-7356,-932.09,AUTOMOBILE,the instructions cajole carefully. slyly final requests nag carefully ac
1421,Customer#000001421,Qx9tZ9yiMo,12,22-139-990-1907,7292.93,MACHINERY,kly even ideas cajole carefully quickly ironic 
1422,Customer#000001422,mzXw44ExYC8DAdeKBakiWy0II,17,27-270-833-4320,8389.5,MACHINERY,mong the evenly express asymptotes integrate slyly brave
1423,Customer#000001423,"9BcCj8CLsqylKxRj0,lm",21,31-624-875-9135,2411.69,FURNITURE,"he carefully express courts. regular instructions haggle. special, express accounts believe? packages cajole slyly."
1424,Customer#000001424, 3QsPgbVLZ,22,32-542-134-6212,7207.7,FURNITURE, instructions against the furiously express accounts doze fluffily unusual d
1425,Customer#000001425,I2UBZAPPdnA9oFKKJTGxaSQZb5QzNzTR4vN6d P,1,11-697-824-4418,5814.72,FURNITURE,"uests boost carefully even foxes. accounts along the slyly ironic requests cajole express, final deposits. sl"
1426,Customer#000001426,"d1Tyzg,0ArKPuBln8CDH, 1Xsukm2nXVl",15,25-629-292-9022,1965.38,HOUSEHOLD,"s are slyly according to the express, spe"
1427,Customer#000001427,dDsmiig0T4oFKaf9ttFeh1etLvSIc9aV1xF2H,11,21-941-208-2485,8136.53,AUTOMOBILE,"es detect accounts. slyly bold theodolites wake ironic, special accounts. instructions cajo"
1428,Customer#000001428,"3SdWi3lKPXk00UYT,hL",15,25-859-663-3690,7703.84,FURNITURE,iously final platelets sleep slyly ironic instructions. furious
1429,Customer#000001429,K5sID 6zGPrYdfoADUq4kidlPgF3,3,13-119-903-3814,6444.82,AUTOMOBILE,even requests among the blithely regular pinto beans use across the ironic accounts. slyly ironic
1430,Customer#000001430,mv 9MEDwd8yPeQj7N,0,10-209-317-6929,-920.4,BUILDING,"nic deposits. bold, even accounts cajole blithely"
1431,Customer#000001431,l3LM2d2T1n c7yI4sOfpEbbd540qO66A4MARk,13,23-640-395-7009,5805.81,AUTOMOBILE,eposits up the carefully bold requests mo
1432,Customer#000001432,",pbQM2fi642oAuel",21,31-831-635-9758,6314.25,MACHINERY,ts sleep. regular frets sleep carefully ironically special dolphins. carefully bold pinto beans
1433,Customer#000001433,"gK7D76v78U iRA2YI2kxeKLlm4LZMH13,",17,27-558-375-8169,4605.87,BUILDING,ly bold deposits. furiously silent braids alongside 
1434,Customer#000001434,V15TQAhSLp7YC3KdjuMwSV3cwg0lp,18,28-749-743-6583,1851.63,MACHINERY,lieve carefully ironic hockey players. special ide
1435,Customer#000001435,s0fqxkVVqLWR  IaqibwwOf,20,30-309-437-9265,-729.09,AUTOMOBILE,"usly final orbits are? unusual, ironic accounts are slyly. unusual requests sleep after the ironic,"
1436,Customer#000001436,"kV5m0jkgFEto,",10,20-918-593-1860,9158.91,MACHINERY,theodolites. final Tiresias after the quickly final packages dazzle carefully blithely bold 
1437,Customer#000001437,DjHgTwtlzCmcQo,17,27-805-486-5768,8839.32,BUILDING,y. bold pinto beans affix carefully unusual pinto beans. carefully bold Tiresias mold 
1438,Customer#000001438,Gz Aey8gzHxIIxtpJaG0lAqd82T,17,27-688-787-7928,5436.81,FURNITURE,odolites cajole slyly. furiously unusual requests boost furiously along the fluffily pending in
1439,Customer#000001439,IGGK4SXvT5ioAeT2fbVYDemsTTqqhsQu6,21,31-433-694-1822,8487.6,AUTOMOBILE,ely after the carefully bold accounts. carefully ironic packages are silent packages. blithely ironic pinto beans ar
1440,Customer#000001440,k3LXBO5QJrG94TBG77adB1HjqQkleDyUf2c,7,17-619-730-9883,1236.36,BUILDING,"xpress, even accounts integrate. ironic, special requests doze. carefully express instructions doze furio"
1441,Customer#000001441,"u0YYZb46w,pwKo5H9vz d6B9zK4BOHhG jx",23,33-681-334-4499,9465.15,BUILDING,nts haggle quietly quickly final accounts. slyly regular accounts among the sl
1442,Customer#000001442,2fTQpX7N2kp31U,16,26-677-746-7145,7917.9,MACHINERY,ess theodolites. furiously express pinto beans alongside of the
1443,Customer#000001443,qtBPSM2NvmJXNePBT Ap3M6UqIZTvaF,10,20-959-383-4792,7141.87,HOUSEHOLD,ickly about the sly foxes. furiously bold patterns sleep regularly across
1444,Customer#000001444,8WcsyfQU5svH9miWvYbSTH9,7,17-107-228-8125,-501.37,HOUSEHOLD,inal platelets. quickly ironic requests do are carefully carefu
1445,Customer#000001445,5y7gtM75FOfTSBKx9gs9c9MkqJt,21,31-151-251-1931,8367.94,HOUSEHOLD,carefully regular accounts after the b
1446,Customer#000001446,"p94EVXQW,Q3bhXDyhG1Gp96b5zbaW",23,33-873-120-5388,2981.48,BUILDING,gle ruthlessly. furiously express dolp
1447,Customer#000001447,"pHkyNkViDja,dZVNg4bEEbicpoHIVDZvtQi8RPl",17,27-452-251-2941,2718.02,BUILDING,"ously around the accounts. packages haggle blithely ironic, idle ac"
1448,Customer#000001448,a45QD J55bo35zA4qR3v,24,34-969-612-1458,7756.35,AUTOMOBILE,y ironic instructions? slyly pending platelets hang quickly slyly ironic ideas. blithely ironic instructions a
1449,Customer#000001449,"lNFczqF3TjlSO9BuO3jqXY,b",22,32-827-813-3340,9051.75,BUILDING,ructions wake slyly ironic notornis? slyly express courts wake along the slowly 
1450,Customer#000001450,z7Pl iXBEstivMNf,3,13-443-688-6724,857.7,MACHINERY,ains; daringly dogged deposits across the furiously regular instructions breach furiously foxes. carefully unusual a
1451,Customer#000001451,"Yt69m0Aw1LWZhisHJxL4iGEEzx6y,ehspkes",2,12-590-121-9328,3274.3,FURNITURE,ously regular packages. furiously final deposits boost. slyl
1452,Customer#000001452,"51mhHAvPHZACedHYXVU5HXoDIQtBK9,pxuOIlJ",7,17-581-575-4538,7086.97,FURNITURE,silent theodolites. fluffily special
1453,Customer#000001453,FTfWkW1 8jVgOIIR9sMm2HpohiuR1v2278,0,10-852-397-3642,662.67,BUILDING, to wake above the blithely regular foxes. d
1454,Customer#000001454," wwPhUG35PiIVasu88,RvDA",24,34-478-555-5955,3366.61,FURNITURE,ss the blithely ironic deposits. regular deposits after t
1455,Customer#000001455,MrDN0cvhoLZ ioRLZCR hPcY4WvILz2,3,13-839-360-1866,7591.9,MACHINERY,ironic instructions: ironic pinto beans acros
1456,Customer#000001456,zKDB5elqlAQoUQp,13,23-171-834-8997,6123.69,AUTOMOBILE,"unusual accounts wake. even, ironic packages wake carefully. regular p"
1457,Customer#000001457,qmpteVs7H9WjRow7FDut9a77oFKRDOXxq0JmG,23,33-660-953-7656,2873.49,BUILDING,"onic accounts nag blithely among the regular, regular pinto beans. carefully regular"
1458,Customer#000001458,vsGifZH3fNgJjlgF6jJbmkSqGc,3,13-392-503-9207,2716.8,AUTOMOBILE,ests sleep bravely ironic accounts. quickly regular accounts cajole 
1459,Customer#000001459,2sPwjFNEFf9dN4az,11,21-424-586-6295,9270.88,AUTOMOBILE,ounts use blithely. blithely pending packages use ironic deposits. final accounts boost slyly. care
1460,Customer#000001460,AEgBZGLmuMqe7Gqh1,20,30-151-388-7118,9680.51,BUILDING,accounts. ironic packages cajole furiously; quickly pending requests lose quickly carefully bold deposits. 
1461,Customer#000001461,MMmT5l0zAilFCb2ZMqsUm3TXlRH,3,13-393-444-1533,8460.48,AUTOMOBILE,"ress, unusual packages affix carefully carefully final ideas. blithely special instructions nag even deposits? f"
1462,Customer#000001462,"b9Ed,6BCKn5v37q1",17,27-153-195-4457,7305.88,FURNITURE,ously slyly express requests. spec
1463,Customer#000001463,WD3OuRpJ0NVj2qslrTkUPmeJqVx5,7,17-980-394-5868,6039.64,MACHINERY,s. blithely even courts wake quickly: quickly silent pains doubt slyly. slyl
1464,Customer#000001464,"5kOAfK9s6goOZabgSzNLgD,CILowRxqC2OLnV",14,24-133-117-1577,9306.2,AUTOMOBILE,iously furiously regular tithes. boldly final requests use carefully at the f
1465,Customer#000001465,tDRaTC7UgFbBX7VF6cVXYQA0,8,18-807-487-1074,9365.93,FURNITURE,"s lose blithely ironic, regular packages. regular, final foxes haggle c"
1466,Customer#000001466,Fdm3uYarZ0Tnnh9R,17,27-360-496-5041,1268.69,FURNITURE,nts along the blithely bold instructions boost carefully after the unusual depos
1467,Customer#000001467,"GE,jQi5oLlkzh4jIUct7r 3C5G",24,34-941-824-8063,2857.19,FURNITURE,". final, bold deposits sleep furiously. unusual instructions are final requests. quickly final sentiments "
1468,Customer#000001468,APEd1ssFxDC9fhwosxxeQUul5EhwBczX,12,22-901-280-1023,3826.52,BUILDING,s. slyly regular theodolites aft
1469,Customer#000001469,"yLW8qLv25wuMsibRd,1qJe9",7,17-961-583-4658,4329.98,FURNITURE,"y even dependencies wake against the regular, final excuses. packages haggle slyly a"
1470,Customer#000001470,8ufZxZ5IgwGrUM2CWfxYoRHuBi Vj8rY,17,27-350-836-5521,7033.49,HOUSEHOLD, excuses are slyly after the carefully bold accounts. unusual pinto beans boost. final accounts wak
1471,Customer#000001471,"lbRP,tSo,eQT6rDDNNIBx",5,15-230-827-4758,3872.86,AUTOMOBILE,thely according to the carefully ironic foxes; packages according to the quickly special deposits wake fur
1472,Customer#000001472, Eayx9GAqjJEwrGy1Er5 ffNtLL,5,15-464-411-8342,2168.61,MACHINERY, haggle against the carefully bold theodolites. quietly regular ideas haggle. pending pinto beans engage sl
1473,Customer#000001473,UPkONG9dy4VYyGNJGHG,0,10-891-555-7734,2796.93,MACHINERY,uriously. quickly pending multipliers maintain slyly silent excuses. regular requests cajole qui
1474,Customer#000001474,KB83CaaM8DRjvAmEMg1fw,16,26-609-226-4269,2961.79,HOUSEHOLD,kages above the requests sleep furiously packages-- deposits detect fluffily. pending th
1475,Customer#000001475,4tUf4SaYTFV2H7ji,0,10-932-794-2009,1820.28,BUILDING,"uctions sleep blithely bold packages. pending, silent deposits after the fluffily final pinto beans ar"
1476,Customer#000001476,"nsPnedR1dhWK,",16,26-621-638-1459,409.72,BUILDING,across the fluffily final requests. regular forges haggle furiously r
1477,Customer#000001477,nUT6kGEr7tmgpJaPgfFtXY,6,16-407-756-8079,9103.33,MACHINERY,ites nag blithely alongside of the ironic accounts. accounts use. carefully silent deposits
1478,Customer#000001478,x7HDvJDDpR3MqZ5vg2CanfQ1hF0j4,7,17-420-484-5959,9701.54,AUTOMOBILE,ng the furiously bold foxes. even notornis above the unusual 
1479,Customer#000001479,"KDZMMuMVSWQPkGpoTUE0G 1vXHd3mS4c,A,kFR",16,26-203-849-3685,9793.29,BUILDING,arefully final ideas. unusual accounts sleep. final packages wake. fluffily bold dependencies hang slyly. bl
1480,Customer#000001480,"Hzjh65ZXBFSzflrjQgECkrp35gDha,2",7,17-573-775-8796,876.02,HOUSEHOLD,uriously pending courts are. deposits serve quickly blithely final excuses. slyly reg
1481,Customer#000001481,Vp7Um1Vy7MNVJvP 5cqUrz8scGtcaLJB3f5bZDW,12,22-674-694-9039,3204.67,AUTOMOBILE,"lithely. idly ruthless packages wake above the bold, quick pinto beans. regular ex"
1482,Customer#000001482,kTcr5JgkjFeLKIRcmtnCvOFr1feN59chP7,19,29-452-962-5934,2930.53,FURNITURE,are. slyly regular deposits mold carefully above the blithely regular ideas. carefully r
1483,Customer#000001483,ZjY1C b6cOnY3,7,17-202-113-4814,4409.7,BUILDING,nts sleep around the carefully express theodolites. requests nag 
1484,Customer#000001484,WcOint654aJStnQWSgAAtI,18,28-987-505-1842,4883.17,FURNITURE,s against the furiously special packag
1485,Customer#000001485,oR6sZslMa7bPLxtHFhqdJt,24,34-329-123-7678,9412.02,BUILDING,pliers. ironic requests boost slyly carefully express ideas. blithely ironic foxes af
1486,Customer#000001486,7A2MhrNtsA,24,34-559-605-2237,5859.97,BUILDING,lithely ironic dependencies haggle quickly b
1487,Customer#000001487,AJXUi2qFVKfypmmpTEbkmjmz0gPKQ2,17,27-197-562-5547,3589.16,FURNITURE,"y final instructions. regular, regular packages boost alongside of the b"
1488,Customer#000001488,DtF2uJI8td2wqrumD,4,14-892-461-5341,7929.51,HOUSEHOLD,sits boost quickly fluffily even pinto beans. slyly e
1489,Customer#000001489,yM8biIU5IFKHODCGTCwdkUf,9,19-906-669-4354,4389.66,MACHINERY,ckages play carefully? permanently regular pinto beans
1490,Customer#000001490,vBUkY7eCyWP,20,30-326-598-2437,8997.6,MACHINERY, bold orbits boost slyly according to the carefully ironic accounts. slyly special packages whithout the 
1491,Customer#000001491,GjZIP4Fv5lqDt,4,14-931-281-5631,3739.82,HOUSEHOLD,"efully silent tithes. even deposits according to the unusual, even platelets haggle furiously a"
1492,Customer#000001492,2QNz4Zy0UjjI,1,11-527-949-4092,-875.17,HOUSEHOLD, blithely even accounts. furiously final instructions across the decoys cajo
1493,Customer#000001493,FbV 8Ug9GkSfMde5b,24,34-947-154-7032,7014.12,MACHINERY,carefully quiet requests lose slyly. quickly final pinto beans haggle bli
1494,Customer#000001494,4V71P ku3jrqBfQp,11,21-248-166-9549,8292.21,MACHINERY,arefully furiously special ideas. pending deposits above the blithely regular excuses wake slyly car
1495,Customer#000001495,"78w5H7VJSo0Ps,jqeoCWS4Kay17ygM4RtIH",10,20-416-910-7075,6227.55,FURNITURE,"osely blithe, ironic foxes. regular dependencies use blithely about "
1496,Customer#000001496,ZOyMxutVHpJy,3,13-802-978-9538,-496.49,AUTOMOBILE,counts wake slyly above the instructi
1497,Customer#000001497," D8e2U3gYd57H4grcOr,02",14,24-506-574-8552,2449.57,AUTOMOBILE,gular packages boost foxes. blithely bold escapades wake slyly special pack
1498,Customer#000001498,"x XToT5oFi7oIsRG2mgIL3ncvYJoWBsufsQ7N,z",19,29-676-227-6356,5810.56,AUTOMOBILE,ackages are slyly unusual req
1499,Customer#000001499,"4,6jWOEqfnuXkwhB7gs0M9TcWJlaJNv4bt",3,13-273-527-9609,9128.69,AUTOMOBILE,ole blithely permanent instructions. carefully even packages
1500,Customer#000001500,4zaoUzuWUTNFiNPbmu43,5,15-200-872-4790,6910.79,MACHINERY,s boost blithely above the fluffily ironic dolphins! ironic accounts
1501,Customer#000001501,nq1w3VhKie4I3ZquEIZuz1 5CWn,28,20-830-875-6204,8428.830142506296,AUTOMOBILE,endencies. express instructions wake about th
1502,Customer#000001502,AEgBZGLmuMqe7Gqh1,37,30-151-388-7118,10085.25105610299,BUILDING,accounts. ironic packages cajole furiously; quickly pending requests lose quickly carefully bold deposits. 
1503,Customer#000001503,GvlCZ4fJYbHTOTYczE1iH2k6K9edUyNxWZsl6x,14,24-939-734-5650,-780.1914653571798,BUILDING,arefully regular requests unwind slyly 
1504,Customer#000001504,"kded3b,5e5",24,34-259-484-2624,1108.2871143788216,BUILDING,"slyly final accounts detect blithely regular, bold requests-- blithely final foxes wake blithel"
1505,Customer#000001505,KVAvB1lwuN qHWDDPNckenmRGULDFduxYRSBXv,20,30-644-540-9044,6155.605403696243,MACHINERY,er the carefully dogged courts m
1506,Customer#000001506,ldbo6AfnCRjFW8rZnvG6UxbX6o7ISAJRDD7,4,14-368-827-9896,4801.519142052515,FURNITURE,"lyly even asymptotes cajole furiously. regular, ironic theodolite"
1507,Customer#000001507,clvGUnQPLbzX 23hemPp24WS1MEtS4z,49,30-120-992-2121,2881.0220043394265,HOUSEHOLD,r deposits cajole blithely along the quickly silent pattern
1508,Customer#000001508,yp5slqoNd26lAENZW3a67wSfXA6hTF,38,13-702-694-4520,7610.739711548168,HOUSEHOLD, the special packages hinder blithely around the permanent requests. bold depos
1509,Customer#000001509,amwRkh0nDQ6r6MU,46,21-449-581-5158,9516.435108171894,MACHINERY,manently special warthogs. final ideas a
1510,Customer#000001510,",K7wNII9jhC ,",37,30-786-518-4678,6991.91389869256,FURNITURE, are alongside of the requests. s
1511,Customer#000001511,"Ug e2IBbl,LJuqjNz5XeQV",47,15-411-430-7917,948.9941052247467,AUTOMOBILE,r the silent ideas. carefully ironic deposits was carefully above the furiously even excuses. evenly regu
1512,Customer#000001512,ZjY1C b6cOnY3,29,17-202-113-4814,5163.378510733738,BUILDING,nts sleep around the carefully express theodolites. requests nag 
1513,Customer#000001513,wtkjBN9eyrFuENSMmMFlJ3e7jE5KXcg,16,26-516-273-2566,7683.308748637163,AUTOMOBILE,s are quickly above the quickly ironic instructions; even requests about the carefully final deposi
1514,Customer#000001514,1bk KBemIEsKhD3VyXa6IRLx 4GH u,8,18-294-992-6523,5375.107957466167,AUTOMOBILE,"onic packages across the bold, regular dolphins boost furiously furious multipliers; furiously specia"
1515,Customer#000001515,"EQNw9dNy63,",44,11-709-582-2006,5181.2779582302355,BUILDING,ctions wake. packages haggle furiously. express
1516,Customer#000001516,"vLP7iNZBK4B,HANFTKabVI3AO Y9O8H",17,27-357-139-7164,-1274.5830307351832,BUILDING, detect. packages wake slyly express foxes. even deposits ru
1517,Customer#000001517,"jyN6lAjb1FtH10rMC,XzlWyCBrg75",11,21-840-210-3572,7039.587306675705,HOUSEHOLD,jole special packages. furiously final dependencies about the furiously speci
1518,Customer#000001518,o9o6lky2KYgFZ2cSx5lyFQYufM1i1d,2,12-154-975-6824,2136.7181946462015,AUTOMOBILE,beans integrate fluffily. carefully final pinto beans wake furiously even pint
1519,Customer#000001519,IjwJR6TjBJZbKIeouH2d,8,18-856-112-5677,1746.9255036378527,AUTOMOBILE,"dolites haggle express, express requests. furiou"
1520,Customer#000001520,"Zasc8,E0VVY",2,12-810-788-6699,-757.8214409248751,FURNITURE,le according to the regular instruction
1521,Customer#000001521,Gz Aey8gzHxIIxtpJaG0lAqd82T,17,27-688-787-7928,6758.65686484889,FURNITURE,odolites cajole slyly. furiously unusual requests boost furiously along the fluffily pending in
1522,Customer#000001522,FTM62Dujm2BoblKFY w,12,22-888-883-2475,6553.795612280455,FURNITURE,the carefully regular accounts breach above 
1523,Customer#000001523,DeQxsCxixT8RQ7JV6mddRYGDGQ2WM94,24,34-193-143-1425,144.6514494988361,BUILDING,"counts. blithely permanent deposits wake slyly! unusual, even theodolites u"
1524,Customer#000001524,CSf1BbFhJhucmvftOwYLQACMEqgXj,38,13-673-633-4561,2282.5369976299703,AUTOMOBILE,eposits. slyly ironic dependencies haggle quickly. slyly close orbits above
1525,Customer#000001525,aI12bsLSd1Y4dIx2Me5BLbGDCZPn ,49,30-627-947-8311,1748.4670147597838,HOUSEHOLD,"eans. regular, regular foxes wake furiously carefully even pinto beans. furiously r"
1526,Customer#000001526,BWGsQevHk0BfRJV3RRB ElFc,23,33-696-831-5394,8580.8850605993,BUILDING,"phins; bold, final accounts print. carefully silent "
1527,Customer#000001527,"z,dN83fETWpkJkoR",27,24-860-751-6688,3449.5223465686804,BUILDING,ndencies against the carefully even accounts cajole carefully quickly regular packages. even fox
1528,Customer#000001528,"Gbx5Hnw,ctlI7",46,21-643-955-6555,5299.459326555405,FURNITURE,"old dependencies mold slyly above the foxes. dogged, express ins"
1529,Customer#000001529,"8Nx5v3cKF MK3ejHdMUgcY,FNZZs1",30,30-763-866-5779,5192.60182318536,BUILDING,te quickly above the regular packages. thinly re
1530,Customer#000001530,"QI6p41,FNs5k7RZoCCVPUTkUdYpB",38,13-806-545-9701,270.4876132807172,MACHINERY,s nod furiously above the furiously ironic ideas. 
1531,Customer#000001531,naGyIRPFPH E,15,25-461-140-9884,9077.207899022253,AUTOMOBILE, regular deposits sleep against the accounts. foxes cajole carefully special 
1532,Customer#000001532,1 nkl3GMSnweulTNAMPeB8Sa5aSIk,23,33-403-226-2580,7424.196978238396,AUTOMOBILE,nts. special excuses thrash blithe
1533,Customer#000001533,TFCCMlSEyrItYvEZy068NhrUxJz,47,15-856-649-3113,8003.8388514157095,AUTOMOBILE,g to the deposits cajole furiously final deposits. furiously silent dependencies agains
1534,Customer#000001534,JJMbj6myLUzMlbUmg63hNtFv4pWL8nq,27,24-485-422-9361,8838.792210396714,BUILDING,egular requests. ironic requests detect furiously; deposits ha
1535,Customer#000001535,tnrpYmWGxwyaFmJy2Oq0Z,29,17-159-499-3318,3477.953521525059,FURNITURE,luffily. slyly unusual accounts cajole furiously against the ironic asymptotes. slyly reg
1536,Customer#000001536,lQC9KfW W77IYtJjAgSZguNzxjY rYk3t6lcxfSh,13,23-247-728-9743,4990.519783938648,FURNITURE,"he slyly close deposits. special, ironic ideas detect furiously carefull"
1537,Customer#000001537,4zaoUzuWUTNFiNPbmu43,5,15-200-872-4790,7054.570653188936,MACHINERY,s boost blithely above the fluffily ironic dolphins! ironic accounts
1538,Customer#000001538,"zyWvi,SGc,tXTls",0,10-351-119-7514,4785.936169286812,MACHINERY, bold excuses. furiously even asymptotes across the carefully regular dugouts cajole fur
1539,Customer#000001539,I78UJ2ks3sbcd0c2NQ7aH,26,29-436-660-4732,7310.509770066782,BUILDING,"special requests wake carefully regular somas. special theodolites wake regular, unusual pinto beans. furi"
1540,Customer#000001540,"F2X,GhSqLz8k u0gWsirsraFaEDEo6vIGtOTaO1T",11,21-730-373-8193,1647.2188474545683,AUTOMOBILE,uickly-- fluffily pending instructions boo
1541,Customer#000001541,OrOUBBV7NlzVFXtuSOECmQFOkw8r,47,15-455-954-2914,2211.2426700419187,FURNITURE,s deposits. blithely even packages sleep carefully ironic deposits. quickly ironic accou
1542,Customer#000001542,UJTC3 WtzvoD39r1GuoCP,42,31-149-119-1456,4659.505950902551,FURNITURE,special packages haggle carefully slyly ironic pinto beans. sl
1543,Customer#000001543,OrOUBBV7NlzVFXtuSOECmQFOkw8r,47,15-455-954-2914,2692.205244075613,FURNITURE,s deposits. blithely even packages sleep carefully ironic deposits. quickly ironic accou
1544,Customer#000001544,"2RSC1g7cVd,j23HusdkhdCGmiiE",12,22-544-152-1215,4009.6131784725276,FURNITURE, pinto beans believe fluffily. excuses wake blithely silent requests. b
1545,Customer#000001545,SHn6HpO2VXBw3RJFPxjQFGanrsndRwRR2LWdm,24,34-973-735-5374,5055.148206141259,BUILDING,"y pending accounts! blithely unusual ideas wake alongside of the regular, f"
1546,Customer#000001546,eNIy9PatAWlh0,26,29-264-864-8387,-295.3596683540763,HOUSEHOLD,the special ideas. finally ironic accounts doubt. slyly regular ideas
1547,Customer#000001547,kEDBn1IQWyHyYjgGGs6FiXfm3,8,18-864-953-3058,3663.505493877662,MACHINERY,ages? fluffily even accounts shall have to boost furiously alongside of the furiously pendin
1548,Customer#000001548,"2Bx7,7i87h5cagC,ZBz49lyiziLqQoD",1,11-873-931-2886,-51.861237666466295,BUILDING,. excuses use alongside of the furiously final deposits. blithely express foxes wake furiously. blithely 
1549,Customer#000001549,XYmVpr9yAHDEn,8,18-902-614-8344,2007.8282219175921,MACHINERY, quickly final accounts integrate blithely furiously u
1550,Customer#000001550,pSISKRxFIgVasW71fLyaEuODHZQLBfd6E c7jo,9,19-556-695-9964,463.89009171607836,FURNITURE,ly. slyly special instructions wake. carefully even accounts sleep quickly slyly silent deposits. s
1551,Customer#000001551,QNc2eOlRIzL6jpthwgDuB866uCIUPiOX,5,15-288-395-5501,1052.8441812624778,AUTOMOBILE,espite the ironic excuses. furiously final deposits wake slyly. slyly ex
1552,Customer#000001552,"ujAPYPBrLW,oIxGpuWmxoTDscSXFOP Tjk",15,25-765-244-1549,4032.84791899275,AUTOMOBILE,"er furiously despite the ironic, even ideas. slyly silent ideas boost"
1553,Customer#000001553,dV4lqEufXkF8R,29,17-856-814-6352,2174.2232857417243,HOUSEHOLD, carefully bold deposits: final pinto beans sleep slyly idl
